Epoch, training loss, validation loss, validation accuracy, ,,
226,2.275172,2.273570,0.246000, ,,
227,2.274793,2.273139,0.261000, ,,
228,2.274707,2.272907,0.266000, ,,
229,2.274382,2.273073,0.254000, ,,
230,2.273929,2.272600,0.266000, ,,
231,2.273987,2.272589,0.244000, ,,
232,2.273527,2.271826,0.234000, ,,
233,2.273482,2.271361,0.208000, ,,
234,2.272967,2.272112,0.187000, ,,
235,2.272832,2.271433,0.220000, ,,
236,2.272370,2.271499,0.285000, ,,
237,2.272002,2.270644,0.228000, ,,
238,2.271735,2.269901,0.220000, ,,
239,2.271898,2.269832,0.274000, ,,
240,2.271325,2.270571,0.283000, ,,
241,2.270859,2.269613,0.194000, ,,
242,2.270378,2.269010,0.174000, ,,
243,2.270147,2.268571,0.283000, ,,
244,2.270054,2.268723,0.319000, ,,
245,2.269481,2.267793,0.251000, ,,
246,2.269756,2.267841,0.234000, ,,
247,2.269464,2.267158,0.185000, ,,
248,2.268768,2.267227,0.320000, ,,
249,2.268346,2.266668,0.230000, ,,
250,2.267646,2.266383,0.291000, ,,
251,2.267313,2.266153,0.248000, ,,
252,2.267366,2.265945,0.304000, ,,
253,2.266611,2.265154,0.236000, ,,
254,2.266791,2.264853,0.223000, ,,
255,2.265966,2.264469,0.225000, ,,
256,2.265756,2.264252,0.256000, ,,
257,2.265632,2.263969,0.298000, ,,
258,2.264809,2.263632,0.237000, ,,
259,2.264373,2.262983,0.298000, ,,
260,2.264079,2.262655,0.282000, ,,
261,2.263727,2.262269,0.267000, ,,
262,2.263324,2.261570,0.231000, ,,
263,2.262821,2.261310,0.236000, ,,
264,2.262151,2.261023,0.302000, ,,
265,2.262233,2.260487,0.250000, ,,
266,2.261614,2.260057,0.262000, ,,
267,2.261044,2.259189,0.230000, ,,
268,2.260665,2.259251,0.318000, ,,
269,2.260202,2.259152,0.290000, ,,
270,2.259909,2.257713,0.216000, ,,
271,2.259341,2.257562,0.269000, ,,
272,2.258589,2.257527,0.315000, ,,
273,2.257885,2.256661,0.268000, ,,
274,2.257774,2.256143,0.277000, ,,
275,2.256848,2.256065,0.303000, ,,
276,2.257060,2.255039,0.292000, ,,
277,2.256441,2.254632,0.254000, ,,
278,2.256126,2.253846,0.225000, ,,
279,2.255282,2.253517,0.295000, ,,
280,2.254651,2.253352,0.281000, ,,
281,2.253917,2.252770,0.295000, ,,
282,2.253356,2.251605,0.294000, ,,
283,2.252520,2.251134,0.282000, ,,
284,2.251902,2.250700,0.307000, ,,
285,2.251580,2.250111,0.299000, ,,
286,2.251591,2.249569,0.280000, ,,
287,2.250674,2.248357,0.229000, ,,
288,2.249713,2.248233,0.305000, ,,
289,2.249147,2.247922,0.288000, ,,
290,2.248517,2.247222,0.273000, ,,
291,2.247861,2.246168,0.309000, ,,
292,2.247299,2.245766,0.282000, ,,
293,2.246450,2.244648,0.272000, ,,
294,2.245701,2.244338,0.305000, ,,
295,2.245022,2.243579,0.309000, ,,
296,2.244261,2.242766,0.252000, ,,
297,2.243826,2.242467,0.315000, ,,
298,2.243236,2.241609,0.283000, ,,
299,2.242230,2.240376,0.246000, ,,
300,2.241388,2.239225,0.261000, ,,
301,2.240994,2.239654,0.357000, ,,
302,2.239999,2.237808,0.297000, ,,
303,2.238841,2.237218,0.292000, ,,
304,2.238209,2.236532,0.350000, ,,
305,2.237519,2.235640,0.315000, ,,
306,2.236357,2.235070,0.300000, ,,
307,2.235571,2.233705,0.288000, ,,
308,2.234901,2.232755,0.305000, ,,
309,2.233746,2.232509,0.322000, ,,
310,2.233211,2.231026,0.255000, ,,
311,2.232063,2.230271,0.300000, ,,
312,2.230888,2.229533,0.344000, ,,
313,2.229901,2.228325,0.303000, ,,
314,2.229287,2.226815,0.246000, ,,
315,2.228651,2.226518,0.289000, ,,
316,2.227063,2.225254,0.303000, ,,
317,2.226293,2.223974,0.295000, ,,
318,2.225107,2.223393,0.304000, ,,
319,2.224107,2.222066,0.344000, ,,
320,2.222954,2.220810,0.316000, ,,
321,2.221873,2.219488,0.275000, ,,
322,2.220433,2.218374,0.322000, ,,
323,2.220092,2.218135,0.364000, ,,
324,2.218144,2.215856,0.311000, ,,
325,2.217228,2.214171,0.262000, ,,
326,2.216018,2.214201,0.348000, ,,
327,2.214492,2.212339,0.315000, ,,
328,2.213387,2.211071,0.316000, ,,
329,2.212587,2.210146,0.355000, ,,
330,2.210958,2.208715,0.322000, ,,
331,2.209809,2.207254,0.315000, ,,
332,2.208177,2.205617,0.311000, ,,
333,2.206637,2.204739,0.306000, ,,
334,2.205429,2.202801,0.328000, ,,
335,2.204063,2.201774,0.323000, ,,
336,2.202432,2.200002,0.322000, ,,
337,2.200777,2.198664,0.352000, ,,
338,2.199313,2.196546,0.277000, ,,
339,2.198045,2.195305,0.316000, ,,
340,2.196602,2.194162,0.308000, ,,
341,2.194586,2.191957,0.326000, ,,
342,2.193197,2.190486,0.378000, ,,
343,2.191534,2.188671,0.319000, ,,
344,2.190167,2.187407,0.341000, ,,
345,2.188467,2.185155,0.266000, ,,
346,2.186926,2.183916,0.325000, ,,
347,2.184680,2.181612,0.337000, ,,
348,2.183118,2.179443,0.250000, ,,
349,2.181230,2.178266,0.322000, ,,
350,2.179368,2.176675,0.277000, ,,
351,2.177391,2.174310,0.392000, ,,
352,2.175994,2.172722,0.251000, ,,
353,2.173988,2.169933,0.333000, ,,
354,2.171877,2.168538,0.419000, ,,
355,2.169856,2.166547,0.370000, ,,
356,2.167840,2.164274,0.302000, ,,
357,2.165761,2.162180,0.295000, ,,
358,2.163322,2.160111,0.366000, ,,
359,2.161843,2.157606,0.304000, ,,
360,2.159595,2.156523,0.344000, ,,
361,2.157210,2.153759,0.319000, ,,
362,2.155396,2.150893,0.277000, ,,
363,2.152705,2.148641,0.340000, ,,
364,2.150527,2.147040,0.384000, ,,
365,2.148441,2.144198,0.329000, ,,
366,2.146047,2.141894,0.358000, ,,
367,2.143748,2.140080,0.348000, ,,
368,2.141357,2.137491,0.318000, ,,
369,2.139004,2.134014,0.337000, ,,
370,2.136420,2.132060,0.353000, ,,
371,2.134097,2.130087,0.321000, ,,
372,2.131889,2.127300,0.353000, ,,
373,2.129170,2.124700,0.333000, ,,
374,2.127029,2.121914,0.368000, ,,
375,2.124212,2.119978,0.340000, ,,
376,2.121669,2.116725,0.347000, ,,
377,2.119474,2.114838,0.358000, ,,
378,2.116927,2.111365,0.391000, ,,
379,2.114017,2.108987,0.357000, ,,
