Epoch, training loss, validation loss, validation accuracy, ,,
422,0.214098,0.315586,0.913000, ,,
423,0.213813,0.315674,0.913000, ,,
424,0.213491,0.315373,0.913000, ,,
425,0.213259,0.315496,0.913000, ,,
426,0.212795,0.315291,0.913000, ,,
427,0.212397,0.314972,0.913000, ,,
428,0.212146,0.315182,0.913000, ,,
429,0.211843,0.314705,0.913000, ,,
430,0.211361,0.314760,0.913000, ,,
431,0.211066,0.314789,0.913000, ,,
432,0.210716,0.314407,0.913000, ,,
433,0.210399,0.314387,0.913000, ,,
434,0.210063,0.314275,0.914000, ,,
435,0.209798,0.314138,0.914000, ,,
436,0.209399,0.313934,0.914000, ,,
437,0.209040,0.314194,0.913000, ,,
438,0.208727,0.314040,0.913000, ,,
439,0.208420,0.314048,0.913000, ,,
440,0.208094,0.313844,0.913000, ,,
441,0.207714,0.313518,0.913000, ,,
442,0.207374,0.313385,0.914000, ,,
443,0.207092,0.313439,0.913000, ,,
444,0.206727,0.313365,0.913000, ,,
445,0.206443,0.313146,0.914000, ,,
446,0.206130,0.313030,0.913000, ,,
447,0.205772,0.313101,0.913000, ,,
448,0.205464,0.313103,0.914000, ,,
449,0.205126,0.312962,0.914000, ,,
450,0.204882,0.312703,0.914000, ,,
451,0.204495,0.312618,0.914000, ,,
452,0.204189,0.312841,0.914000, ,,
453,0.203892,0.312551,0.914000, ,,
454,0.203534,0.312523,0.915000, ,,
455,0.203225,0.312498,0.914000, ,,
456,0.202890,0.312198,0.916000, ,,
457,0.202589,0.312185,0.914000, ,,
458,0.202270,0.311917,0.915000, ,,
459,0.201947,0.311956,0.915000, ,,
460,0.201635,0.311878,0.915000, ,,
461,0.201356,0.311980,0.915000, ,,
462,0.201019,0.311864,0.915000, ,,
463,0.200734,0.311739,0.915000, ,,
464,0.200391,0.311527,0.915000, ,,
465,0.200140,0.311556,0.915000, ,,
466,0.199818,0.311456,0.915000, ,,
467,0.199443,0.311384,0.915000, ,,
468,0.199155,0.311491,0.915000, ,,
469,0.198906,0.311169,0.917000, ,,
470,0.198609,0.311000,0.916000, ,,
471,0.198302,0.311144,0.916000, ,,
472,0.198020,0.311034,0.918000, ,,
473,0.197723,0.311042,0.915000, ,,
474,0.197375,0.310774,0.914000, ,,
475,0.197045,0.310697,0.916000, ,,
476,0.196746,0.310473,0.916000, ,,
477,0.196420,0.310617,0.915000, ,,
