Epoch, training loss, validation loss, validation accuracy, ,,
329,0.256436,0.327224,0.899000, ,,
330,0.255987,0.326834,0.899000, ,,
331,0.255639,0.326402,0.898000, ,,
332,0.255206,0.325989,0.899000, ,,
333,0.254811,0.325785,0.899000, ,,
334,0.254554,0.325894,0.901000, ,,
335,0.253982,0.325700,0.899000, ,,
336,0.253586,0.325384,0.899000, ,,
337,0.253168,0.324811,0.899000, ,,
338,0.252806,0.324574,0.899000, ,,
339,0.252449,0.324446,0.899000, ,,
340,0.252004,0.324215,0.899000, ,,
341,0.251593,0.323885,0.899000, ,,
342,0.251287,0.323590,0.899000, ,,
343,0.250911,0.323550,0.899000, ,,
344,0.250469,0.323516,0.901000, ,,
345,0.250145,0.323179,0.899000, ,,
346,0.249697,0.322926,0.900000, ,,
347,0.249348,0.322722,0.900000, ,,
348,0.248932,0.322316,0.900000, ,,
349,0.248534,0.322234,0.900000, ,,
350,0.248231,0.321823,0.900000, ,,
351,0.247878,0.321982,0.901000, ,,
352,0.247503,0.321395,0.900000, ,,
353,0.247099,0.321270,0.900000, ,,
354,0.246719,0.321224,0.900000, ,,
355,0.246291,0.320948,0.900000, ,,
356,0.245936,0.320735,0.902000, ,,
357,0.245600,0.320424,0.901000, ,,
358,0.245250,0.320217,0.903000, ,,
359,0.244860,0.320105,0.902000, ,,
360,0.244496,0.319738,0.902000, ,,
361,0.244122,0.319599,0.901000, ,,
362,0.243830,0.319363,0.901000, ,,
363,0.243447,0.319206,0.902000, ,,
364,0.243126,0.319125,0.901000, ,,
365,0.242745,0.319218,0.902000, ,,
366,0.242345,0.318674,0.901000, ,,
367,0.242100,0.318469,0.901000, ,,
368,0.241718,0.318362,0.902000, ,,
369,0.241311,0.318178,0.901000, ,,
370,0.241004,0.318124,0.902000, ,,
371,0.240644,0.317880,0.904000, ,,
372,0.240239,0.317510,0.902000, ,,
373,0.239902,0.317033,0.902000, ,,
374,0.239670,0.316895,0.901000, ,,
375,0.239277,0.316635,0.902000, ,,
376,0.238961,0.316771,0.903000, ,,
377,0.238557,0.316727,0.903000, ,,
378,0.238330,0.316249,0.902000, ,,
379,0.237889,0.316260,0.902000, ,,
380,0.237516,0.315951,0.903000, ,,
381,0.237209,0.316018,0.904000, ,,
382,0.236830,0.315860,0.903000, ,,
383,0.236525,0.315573,0.904000, ,,
384,0.236197,0.315283,0.904000, ,,
385,0.236145,0.315192,0.905000, ,,
386,0.235628,0.315234,0.904000, ,,
387,0.235416,0.314958,0.904000, ,,
388,0.234991,0.314323,0.904000, ,,
389,0.234604,0.314406,0.905000, ,,
390,0.234255,0.314302,0.904000, ,,
391,0.233894,0.314029,0.904000, ,,
392,0.233614,0.313907,0.904000, ,,
393,0.233277,0.313808,0.904000, ,,
394,0.232975,0.313498,0.904000, ,,
395,0.232680,0.313390,0.904000, ,,
396,0.232321,0.313263,0.904000, ,,
397,0.232020,0.313422,0.903000, ,,
398,0.231687,0.313101,0.904000, ,,
399,0.231346,0.313001,0.903000, ,,
400,0.231146,0.312575,0.906000, ,,
401,0.230796,0.312509,0.905000, ,,
402,0.230442,0.312465,0.904000, ,,
403,0.230273,0.312071,0.903000, ,,
404,0.229913,0.311785,0.904000, ,,
405,0.229525,0.311843,0.906000, ,,
406,0.229253,0.311836,0.905000, ,,
407,0.228868,0.311546,0.905000, ,,
408,0.228569,0.311524,0.906000, ,,
409,0.228342,0.311185,0.905000, ,,
410,0.227965,0.311183,0.903000, ,,
411,0.227735,0.311108,0.905000, ,,
412,0.227378,0.310753,0.906000, ,,
413,0.227084,0.310724,0.905000, ,,
414,0.226759,0.310452,0.905000, ,,
415,0.226551,0.310474,0.906000, ,,
416,0.226169,0.310312,0.904000, ,,
417,0.225944,0.309977,0.904000, ,,
418,0.225575,0.309823,0.905000, ,,
419,0.225284,0.309806,0.905000, ,,
420,0.225088,0.309671,0.906000, ,,
421,0.224719,0.309567,0.906000, ,,
422,0.224408,0.309629,0.904000, ,,
423,0.224175,0.309199,0.905000, ,,
424,0.223940,0.308924,0.905000, ,,
425,0.223537,0.309092,0.905000, ,,
426,0.223263,0.308931,0.907000, ,,
427,0.223082,0.308645,0.905000, ,,
428,0.222665,0.308458,0.905000, ,,
429,0.222452,0.308564,0.905000, ,,
430,0.222131,0.308467,0.906000, ,,
431,0.221800,0.308117,0.905000, ,,
432,0.221497,0.308032,0.905000, ,,
433,0.221264,0.307720,0.905000, ,,
434,0.221003,0.307516,0.908000, ,,
435,0.220678,0.307747,0.905000, ,,
436,0.220415,0.307351,0.906000, ,,
437,0.220109,0.307359,0.907000, ,,
438,0.219850,0.307422,0.907000, ,,
439,0.219629,0.307507,0.906000, ,,
440,0.219289,0.307175,0.906000, ,,
441,0.219012,0.306863,0.907000, ,,
442,0.218650,0.306641,0.906000, ,,
443,0.218501,0.306452,0.907000, ,,
444,0.218205,0.306247,0.908000, ,,
445,0.217898,0.306528,0.907000, ,,
446,0.217660,0.306365,0.908000, ,,
447,0.217376,0.306215,0.909000, ,,
448,0.217100,0.306049,0.908000, ,,
449,0.216764,0.305843,0.908000, ,,
450,0.216545,0.305601,0.908000, ,,
451,0.216296,0.305842,0.907000, ,,
452,0.216068,0.305523,0.908000, ,,
453,0.215701,0.305482,0.907000, ,,
454,0.215497,0.305172,0.909000, ,,
455,0.215270,0.305152,0.909000, ,,
456,0.214873,0.305340,0.908000, ,,
457,0.214624,0.305076,0.908000, ,,
458,0.214442,0.304941,0.908000, ,,
459,0.214141,0.304853,0.907000, ,,
460,0.213852,0.304646,0.908000, ,,
461,0.213544,0.304522,0.909000, ,,
462,0.213338,0.304422,0.909000, ,,
463,0.213060,0.304296,0.909000, ,,
464,0.212781,0.304214,0.911000, ,,
465,0.212515,0.304109,0.910000, ,,
466,0.212285,0.303881,0.910000, ,,
467,0.211999,0.303683,0.910000, ,,
468,0.211776,0.303557,0.910000, ,,
469,0.211535,0.303579,0.910000, ,,
470,0.211216,0.303655,0.909000, ,,
471,0.210982,0.303671,0.911000, ,,
472,0.210725,0.303519,0.910000, ,,
473,0.210480,0.303412,0.910000, ,,
474,0.210227,0.303230,0.911000, ,,
475,0.209914,0.303158,0.911000, ,,
476,0.209760,0.302654,0.911000, ,,
477,0.209421,0.302865,0.910000, ,,
478,0.209194,0.302886,0.911000, ,,
479,0.208894,0.302750,0.910000, ,,
480,0.208752,0.302830,0.910000, ,,
481,0.208407,0.302791,0.910000, ,,
482,0.208210,0.302156,0.911000, ,,
483,0.207967,0.302017,0.911000, ,,
484,0.207700,0.301833,0.911000, ,,
485,0.207394,0.302105,0.911000, ,,
486,0.207215,0.301998,0.911000, ,,
487,0.206887,0.301837,0.910000, ,,
488,0.206777,0.301887,0.910000, ,,
489,0.206477,0.301915,0.911000, ,,
490,0.206191,0.301640,0.911000, ,,
491,0.205964,0.301462,0.910000, ,,
492,0.205679,0.301476,0.911000, ,,
493,0.205432,0.301361,0.910000, ,,
494,0.205228,0.301206,0.911000, ,,
495,0.204946,0.301304,0.911000, ,,
496,0.204684,0.301083,0.911000, ,,
497,0.204433,0.300897,0.911000, ,,
498,0.204235,0.300637,0.911000, ,,
499,0.204004,0.300743,0.911000, ,,
500,0.203770,0.300621,0.911000, ,,
501,0.203442,0.300640,0.912000, ,,
502,0.203290,0.300647,0.912000, ,,
503,0.203044,0.300604,0.911000, ,,
504,0.202754,0.300448,0.911000, ,,
505,0.202572,0.300076,0.911000, ,,
506,0.202340,0.300080,0.911000, ,,
507,0.202025,0.300067,0.912000, ,,
508,0.201827,0.299897,0.912000, ,,
509,0.201676,0.300049,0.911000, ,,
510,0.201381,0.299934,0.913000, ,,
511,0.201090,0.299729,0.913000, ,,
512,0.200887,0.299721,0.911000, ,,
513,0.200678,0.299679,0.912000, ,,
514,0.200363,0.299523,0.912000, ,,
515,0.200137,0.299475,0.912000, ,,
516,0.199988,0.299443,0.913000, ,,
517,0.199675,0.299290,0.912000, ,,
518,0.199451,0.298910,0.913000, ,,
519,0.199226,0.298994,0.913000, ,,
520,0.198985,0.299201,0.912000, ,,
521,0.198757,0.299071,0.913000, ,,
522,0.198559,0.298794,0.913000, ,,
523,0.198296,0.298762,0.913000, ,,
524,0.198036,0.298673,0.912000, ,,
525,0.197833,0.298806,0.913000, ,,
526,0.197580,0.298703,0.912000, ,,
527,0.197406,0.298270,0.913000, ,,
528,0.197118,0.298503,0.913000, ,,
529,0.196903,0.298536,0.912000, ,,
530,0.196726,0.298550,0.912000, ,,
531,0.196497,0.298115,0.913000, ,,
532,0.196213,0.298118,0.913000, ,,
533,0.196061,0.298090,0.913000, ,,
534,0.195805,0.298014,0.912000, ,,
535,0.195542,0.297802,0.913000, ,,
536,0.195338,0.297918,0.913000, ,,
537,0.195120,0.297884,0.912000, ,,
538,0.194976,0.297670,0.913000, ,,
539,0.194630,0.297734,0.914000, ,,
540,0.194435,0.297608,0.914000, ,,
541,0.194190,0.297540,0.913000, ,,
542,0.193979,0.297636,0.913000, ,,
543,0.193833,0.297128,0.914000, ,,
544,0.193541,0.297078,0.915000, ,,
545,0.193343,0.297013,0.915000, ,,
546,0.193057,0.297127,0.914000, ,,
547,0.192873,0.297327,0.914000, ,,
548,0.192681,0.297319,0.914000, ,,
549,0.192433,0.296884,0.915000, ,,
550,0.192188,0.296697,0.915000, ,,
551,0.192025,0.296974,0.915000, ,,
552,0.191754,0.296968,0.915000, ,,
553,0.191585,0.296732,0.915000, ,,
554,0.191327,0.296594,0.915000, ,,
555,0.191134,0.296684,0.915000, ,,
556,0.190866,0.296556,0.915000, ,,
557,0.190674,0.296514,0.915000, ,,
558,0.190549,0.296286,0.915000, ,,
559,0.190181,0.296440,0.915000, ,,
560,0.189998,0.296470,0.914000, ,,
561,0.189806,0.296057,0.915000, ,,
562,0.189620,0.296360,0.915000, ,,
563,0.189381,0.296091,0.915000, ,,
564,0.189187,0.296070,0.915000, ,,
565,0.188949,0.295889,0.915000, ,,
566,0.188741,0.295864,0.915000, ,,
567,0.188519,0.295972,0.915000, ,,
568,0.188315,0.295949,0.915000, ,,
569,0.188070,0.295821,0.915000, ,,
570,0.187874,0.295737,0.915000, ,,
571,0.187699,0.295647,0.915000, ,,
572,0.187433,0.295536,0.915000, ,,
573,0.187248,0.295777,0.915000, ,,
574,0.187034,0.295581,0.915000, ,,
575,0.186834,0.295546,0.915000, ,,
576,0.186603,0.295423,0.915000, ,,
577,0.186468,0.295003,0.915000, ,,
578,0.186201,0.295179,0.915000, ,,
579,0.185977,0.295318,0.915000, ,,
580,0.185765,0.295328,0.915000, ,,
581,0.185596,0.295185,0.915000, ,,
582,0.185445,0.294855,0.916000, ,,
583,0.185119,0.294978,0.915000, ,,
584,0.184945,0.294918,0.915000, ,,
585,0.184751,0.294775,0.915000, ,,
586,0.184587,0.294674,0.915000, ,,
587,0.184298,0.294749,0.915000, ,,
588,0.184114,0.294830,0.915000, ,,
589,0.183886,0.294952,0.916000, ,,
590,0.183739,0.295023,0.916000, ,,
591,0.183514,0.294758,0.915000, ,,
592,0.183301,0.294573,0.915000, ,,
593,0.183216,0.294450,0.915000, ,,
594,0.182951,0.294572,0.915000, ,,
595,0.182704,0.294574,0.916000, ,,
596,0.182508,0.294172,0.915000, ,,
597,0.182301,0.294174,0.916000, ,,
598,0.182129,0.294060,0.915000, ,,
599,0.181874,0.294199,0.916000, ,,
600,0.181664,0.294350,0.916000, ,,
601,0.181449,0.294138,0.916000, ,,
602,0.181288,0.294274,0.916000, ,,
603,0.181038,0.293985,0.916000, ,,
604,0.180822,0.293930,0.916000, ,,
605,0.180638,0.294032,0.916000, ,,
606,0.180462,0.293815,0.916000, ,,
607,0.180245,0.293493,0.916000, ,,
608,0.180081,0.293461,0.916000, ,,
609,0.179829,0.293623,0.916000, ,,
610,0.179693,0.293879,0.916000, ,,
611,0.179458,0.293890,0.916000, ,,
612,0.179281,0.293808,0.916000, ,,
613,0.179097,0.293552,0.916000, ,,
614,0.178851,0.293616,0.916000, ,,
615,0.178630,0.293455,0.916000, ,,
616,0.178519,0.293496,0.916000, ,,
617,0.178262,0.293726,0.916000, ,,
618,0.178015,0.293684,0.916000, ,,
619,0.177860,0.293348,0.916000, ,,
620,0.177703,0.293334,0.916000, ,,
621,0.177541,0.293377,0.916000, ,,
622,0.177291,0.293094,0.916000, ,,
623,0.177076,0.293114,0.916000, ,,
624,0.176896,0.293098,0.916000, ,,
625,0.176671,0.293245,0.916000, ,,
626,0.176494,0.293095,0.916000, ,,
627,0.176270,0.293131,0.916000, ,,
628,0.176098,0.293093,0.916000, ,,
629,0.175953,0.292748,0.916000, ,,
630,0.175758,0.292942,0.916000, ,,
631,0.175558,0.292906,0.916000, ,,
632,0.175363,0.292783,0.916000, ,,
633,0.175109,0.292789,0.916000, ,,
634,0.174964,0.292904,0.916000, ,,
635,0.174773,0.292645,0.916000, ,,
636,0.174551,0.292706,0.916000, ,,
637,0.174332,0.292644,0.916000, ,,
638,0.174186,0.292544,0.916000, ,,
639,0.173937,0.292762,0.916000, ,,
640,0.173815,0.292522,0.916000, ,,
641,0.173602,0.292551,0.916000, ,,
642,0.173369,0.292533,0.916000, ,,
643,0.173195,0.292447,0.916000, ,,
644,0.173113,0.292415,0.916000, ,,
645,0.172817,0.292238,0.916000, ,,
646,0.172619,0.292305,0.916000, ,,
647,0.172439,0.292522,0.917000, ,,
648,0.172274,0.292411,0.917000, ,,
649,0.172062,0.292327,0.917000, ,,
650,0.171886,0.292065,0.917000, ,,
651,0.171700,0.292120,0.916000, ,,
652,0.171499,0.292133,0.917000, ,,
653,0.171313,0.292163,0.917000, ,,
