, training loss, validation accuracy, validation loss,Epoch,Unnamed: 4,Unnamed: 5,Unnamed: 6
411,0.0004940000000000001,0.957,0.30428,138.0, ,,
414,0.000491,0.957,0.305202,139.0, ,,
417,0.00047599999999999997,0.958,0.305921,140.0, ,,
420,0.000478,0.958,0.306302,141.0, ,,
423,0.00046699999999999997,0.957,0.307906,142.0, ,,
426,0.000458,0.957,0.30828099999999997,143.0, ,,
429,0.000452,0.957,0.307724,144.0, ,,
432,0.00044800000000000005,0.957,0.30904299999999996,145.0, ,,
435,0.00044800000000000005,0.957,0.30904299999999996,145.0, ,,
438,0.000436,0.957,0.310716,147.0, ,,
441,0.000429,0.957,0.309393,148.0, ,,
444,0.000424,0.957,0.310844,149.0, ,,
447,0.00041900000000000005,0.957,0.310101,150.0, ,,
